key,STATE,ITEM CODE,DISPLAY NAME,KVI TAG,MRP,LAST INWARD COST,CURRENT SP,OFF INVOICE ADJUSTED COST,ADR SP,KOLKATA SP,BILASPUR/KORBA SP,JAMSHEDPUR SP,HAZARIBAGH SP,RANCHI SP,LAST 90 DAY SALE VALUE,LAST 90 DAY SALE QTY
WB2405,WB,2405,Aashirvaad Shudh Chakki Atta 5 Kg,Super KVI,273,213.779,238,213.779,238,238,,,,,"2,841,132","11,848"
JH104241,JH,104241,Kismis Raisin Popular 500g,KVI,329,202.50,249,202.50,,,,238,238,,"876,756","3,684"
WB2704,WB,2704,Fortune Premium Kachi ghani Pure Mustard Oil 1 Ltr Pouch,Super KVI,210,166.499,173,166.499,173,173,,,,,"9,265,637","54,058"
JH2405,JH,2405,Aashirvaad Shudh Chakki Atta 5 Kg,Super KVI,283,217.659,237,217.659,,,,235,235,,"7,017,780","29,354"
JH10552,JH,10552,Mota Sounf 100g,NON KVI,69,35.18,51,35.18,,,,51,,,"404,590","6,770"
WB103734,WB,103734,Crunchi Waves Makhana Regular| 250g | Pack of 1,KVI,399,246.246,299,246.246,299,299,,,,,"1,298,479","4,435"
CG10552,CG,10552,Mota Sounf 100g,NON KVI,59,34.13,40,34.13,,,49,,,,"245,475","4,524"
JH8552,JH,8552,Panchkanya Sooji 500g,KVI,50,17.325,25,17.325,,,,25,25,,"913,452","36,755"
JH2698,JH,2698,Hathi Kacchi Ghani Mustard Oil 1 Ltr,Super KVI,270,168,175,168,,,,,,,"15,880,995","94,399"
CG2405,CG,2405,Aashirvaad Shudh Chakki Atta 5 Kg,Super KVI,263,230.454,241,230.454,,,251,,,,"3,042,417","12,686"
JH103734,JH,103734,Crunchi Waves Makhana Regular| 250g | Pack of 1,KVI,399,246.246,299,246.246,,,,,,,"2,412,746","8,232"
WB42934,WB,42934,Ganesh Chana Besan 500g,KVI,80,51.408,70,47.908,70,70,,,,,"652,743","9,584"
JH8285,JH,8285,Saloni Kachchi Ghani Mustard Oil 1 Ltr,Super KVI,230,168,171,168,,,,,171,,"13,681,901","79,974"
JH8445,JH,8445,Parrot Haldi Powder 100g,NON KVI,43,28.81,39,28.81,,,,,,,"575,526","14,512"
WB104241,WB,104241,Kismis Raisin Popular 500g,KVI,329,217.50,249,217.50,249,249,,,,,"704,963","2,943"
CG2621,CG,2621,Fortune Besan 500g,NON KVI,85,45.003,59,45.003,,,55,,,,"436,228","7,423"
